crop,area,rainfall,pesticide,soil_ph,fertilizer,temperature,yield
Maize,19.08,577.24,1.98,6.35,264.45,26.63,7.66
Maize,47.14,556.49,0.78,6.14,324.71,19.93,4.85
Maize,30.06,525.68,1.74,7.06,250.82,22.9,9.77
Maize,119.28,972.51,0.71,6.7,178.68,31.66,9.13
Maize,4.08,590.77,1.85,6.65,300.61,24.56,7.34
Maize,14.81,529.61,0.4,6.55,335.23,23.28,7.6
Maize,130.24,523.71,0.83,6.6,222.63,30.57,6.21
Maize,29.65,560.68,1.34,5.57,349.9,19.51,4.83
Maize,114.07,773.74,0.54,6.86,227.07,27.18,8.23
Maize,121.09,982.17,0.34,7.19,253.47,31.44,9.97
Maize,30.04,929.49,0.57,6.94,290.96,27.07,6.82
Maize,39.14,707.92,0.49,6.66,263.2,30.73,7.54
Maize,1.96,554.88,1.46,6.0,230.11,21.39,6.46
Maize,10.93,523.38,0.69,5.79,215.1,19.56,4.09
Maize,14.46,674.76,1.89,7.02,274.8,21.33,8.33
Maize,61.4,958.58,1.25,7.12,170.6,26.45,8.46
Maize,44.5,615.35,1.0,5.59,278.96,18.86,5.95
Chickpea,26.13,551.9,1.0,6.15,138.52,22.19,2.17
Chickpea,17.98,470.65,0.88,7.22,115.93,27.78,1.45
Chickpea,11.34,461.4,0.77,7.79,91.07,20.46,1.53
Chickpea,3.96,463.05,0.75,6.03,71.35,28.29,1.64
Chickpea,36.26,719.02,0.83,6.14,86.1,17.71,1.23
Chickpea,33.77,798.53,0.57,6.76,69.99,25.37,1.46
Chickpea,11.05,446.68,0.4,7.76,117.16,28.24,1.58
Chickpea,49.18,735.85,0.65,6.18,73.37,23.63,2.65
Chickpea,45.13,718.43,0.31,6.62,121.84,22.11,2.62
Chickpea,34.52,642.47,1.31,6.66,73.84,23.78,2.96
Chickpea,47.09,658.62,1.23,6.21,78.37,25.84,1.38
Chickpea,49.02,770.88,0.79,6.7,106.35,28.17,1.37
Chickpea,43.73,463.83,1.45,6.89,78.94,17.95,1.14
Chickpea,24.22,678.4,0.54,7.46,131.48,24.03,3.05
Chickpea,46.69,470.58,1.21,7.18,78.86,28.35,1.86
Chickpea,20.62,755.58,0.25,7.68,129.74,26.12,2.82
Chickpea,9.08,472.3,0.29,7.39,149.42,24.55,2.42
Chickpea,39.96,521.87,1.33,7.85,86.21,25.03,3.06
Chickpea,0.94,610.78,1.22,6.01,122.65,20.5,3.27
Chickpea,37.29,766.64,1.34,6.54,70.95,27.15,3.07
Chickpea,42.46,765.67,1.1,6.49,112.68,19.49,1.68
Chickpea,11.66,597.1,0.67,6.72,134.28,20.12,3.37
Chickpea,11.61,501.22,1.25,7.27,120.19,24.25,3.41
Chickpea,48.02,669.6,1.06,6.32,73.19,20.82,2.42
Chickpea,31.57,790.5,1.19,6.58,106.92,27.91,1.44
Chickpea,45.01,720.27,0.21,7.71,54.96,29.76,2.82
Chickpea,44.48,441.27,1.35,7.03,89.15,20.4,2.5
Chickpea,14.29,598.17,0.86,7.03,88.45,18.94,1.53
Chickpea,32.45,728.81,0.61,6.82,133.32,18.13,1.95
Chickpea,41.72,647.79,0.28,7.01,66.98,22.98,3.14
Chickpea,30.33,615.6,0.33,7.87,95.48,26.97,2.8
Chickpea,24.75,579.05,1.15,6.15,138.15,24.93,1.69
Chickpea,2.45,471.8,0.27,7.77,86.94,27.24,2.41
Chickpea,26.42,675.14,0.47,6.96,52.02,17.29,2.5
Chickpea,11.73,730.72,0.48,7.07,138.37,20.45,2.31
Chickpea,36.53,632.85,0.52,7.76,135.67,16.76,2.21
Chickpea,28.72,592.02,1.4,7.64,146.53,16.34,1.97
Chickpea,14.67,798.99,0.5,6.62,52.0,27.89,2.32
Chickpea,20.92,741.99,0.75,6.03,79.92,17.04,2.66
Chickpea,27.05,556.78,1.25,7.73,89.49,18.86,1.11
Chickpea,38.33,758.28,0.54,6.78,74.02,24.65,3.03
Chickpea,14.54,433.07,1.19,6.71,102.52,22.4,2.26
Chickpea,7.66,733.04,1.04,7.59,122.11,23.43,2.01
Chickpea,46.72,791.05,0.2,6.16,54.66,17.3,1.81
Chickpea,6.49,448.22,0.5,6.43,147.55,18.57,2.8
Chickpea,36.58,560.58,0.87,6.97,59.47,29.41,1.01
Chickpea,8.95,678.19,0.27,7.93,115.13,21.99,3.41
Chickpea,18.84,490.31,1.16,6.56,126.96,16.78,1.1
Chickpea,26.97,789.55,1.28,7.96,63.66,19.88,1.26
Chickpea,12.64,795.59,1.18,7.35,130.8,27.46,3.13
Chickpea,40.09,734.31,1.25,7.57,123.83,17.88,3.8
Chickpea,49.22,527.81,1.22,7.26,125.94,20.11,1.37
Chickpea,44.76,646.53,0.34,6.29,108.87,28.4,1.77
Chickpea,32.23,443.19,0.7,6.44,142.47,18.65,2.52
Chickpea,18.0,712.99,0.78,7.33,86.27,16.56,2.24
Chickpea,7.17,742.39,1.03,7.06,148.5,21.42,2.58
Chickpea,35.04,453.95,0.43,6.88,105.05,20.62,2.62
Chickpea,4.52,717.26,0.29,6.3,88.03,26.37,2.18
Chickpea,31.77,409.12,0.66,6.43,93.41,27.83,2.19
Chickpea,5.35,602.89,0.28,6.13,117.62,24.76,2.89
Chickpea,19.97,652.49,1.37,6.55,127.28,28.31,1.35
Chickpea,26.0,615.44,0.63,7.74,147.67,18.62,1.87
Chickpea,26.65,588.74,0.48,6.01,115.26,29.42,1.99
Chickpea,49.14,723.23,0.26,7.24,53.66,17.9,3.4
Chickpea,4.18,430.28,0.99,7.74,143.91,27.88,2.89
Chickpea,18.21,536.5,1.32,7.8,120.5,17.11,1.82
Chickpea,19.18,766.05,0.92,6.96,95.87,16.68,1.59
Chickpea,31.09,434.2,0.95,7.63,99.48,24.54,1.31
Chickpea,4.85,765.85,0.9,6.72,60.63,20.37,2.22
Chickpea,14.73,788.97,0.96,6.27,81.92,15.54,1.67
Chickpea,19.22,780.69,0.29,7.21,89.58,24.17,1.39
Chickpea,13.64,437.77,0.68,7.22,149.58,17.59,1.82
Chickpea,42.08,603.91,0.97,7.54,87.48,23.83,1.44
Chickpea,28.9,449.7,1.13,7.99,84.42,27.7,1.76
Chickpea,2.52,429.76,0.82,7.47,78.21,25.12,1.88
Chickpea,37.04,622.8,1.27,7.26,148.58,15.27,1.22
Chickpea,12.08,511.92,1.28,7.68,100.9,19.65,2.88
Chickpea,30.98,773.41,1.11,6.6,112.83,16.49,2.0
Chickpea,5.45,661.14,0.22,6.92,105.32,24.83,1.58
Chickpea,48.74,784.82,1.08,7.12,127.64,23.43,2.11
Chickpea,34.8,454.13,0.37,7.0,93.86,20.08,2.33
Chickpea,33.64,730.2,0.85,6.68,122.85,20.1,2.37
Chickpea,45.75,577.21,1.0,7.54,135.11,23.88,2.43
Chickpea,9.37,576.73,0.41,7.46,109.14,15.51,1.52
Chickpea,15.41,465.81,0.91,6.92,71.14,23.71,1.78
Chickpea,13.11,501.37,1.42,6.27,55.64,29.05,1.81
Chickpea,39.63,474.93,1.09,7.29,84.35,23.32,2.35
Chickpea,49.77,484.22,0.78,7.33,51.79,22.98,1.89
Chickpea,20.26,753.82,0.23,7.66,146.47,21.92,1.37
Chickpea,7.98,575.77,1.1,7.37,124.16,27.25,3.22
Chickpea,17.74,503.7,0.45,6.98,102.06,21.14,2.2
Chickpea,41.58,563.28,0.39,7.13,117.56,17.82,3.24
Chickpea,44.61,702.81,1.27,6.28,99.36,23.69,2.81
Chickpea,28.93,473.95,1.49,6.92,80.39,22.73,2.27
Chickpea,8.52,755.11,0.76,7.68,93.75,23.69,2.18
Chickpea,23.79,766.02,1.21,7.35,126.41,24.02,1.52
Chickpea,49.66,593.91,1.38,6.79,114.05,18.61,1.87
Chickpea,40.43,551.51,0.98,7.68,122.26,26.06,3.6
Chickpea,35.14,749.76,0.38,7.47,138.49,29.92,2.44
Chickpea,29.28,418.6,0.26,7.16,97.45,17.41,2.17
Kidney beans,12.3,430.63,0.64,6.98,141.68,23.0,1.55
Kidney beans,22.65,626.76,0.77,6.68,67.57,25.86,1.93
Kidney beans,39.65,745.06,0.23,7.37,142.77,26.77,2.25
Kidney beans,7.15,874.57,0.31,6.7,154.07,26.82,3.07
Kidney beans,1.03,479.2,1.36,6.51,101.05,27.82,1.51
Kidney beans,28.4,677.86,0.85,6.88,130.87,26.59,2.01
Kidney beans,10.8,500.43,0.95,6.01,112.35,19.18,1.69
Kidney beans,11.58,697.43,1.41,6.26,95.8,26.01,2.59
Kidney beans,9.57,733.14,0.42,6.42,120.61,20.49,3.04
Kidney beans,10.93,514.06,0.35,7.32,90.87,25.02,2.19
Kidney beans,27.25,862.98,0.21,6.53,127.91,20.53,2.68
Kidney beans,3.43,777.47,0.73,6.69,127.14,25.4,2.12
Kidney beans,9.8,878.46,0.45,7.01,75.27,23.78,2.07
Kidney beans,3.1,555.37,1.29,6.06,103.79,19.98,1.33
Kidney beans,30.8,685.07,0.43,6.47,126.24,27.97,2.11
Kidney beans,12.5,752.18,0.57,6.97,147.06,24.78,1.92
Kidney beans,33.64,696.45,0.3,6.27,90.37,23.8,1.84
Kidney beans,4.46,494.04,0.5,7.19,100.81,26.94,2.52
Kidney beans,22.3,731.93,0.37,6.33,73.41,24.3,1.59
Kidney beans,21.73,405.62,0.38,6.9,81.87,20.65,2.62
Kidney beans,2.79,513.2,1.05,6.12,94.6,20.04,1.52
Kidney beans,16.9,589.88,0.32,6.49,148.41,21.2,1.28
Kidney beans,23.52,872.31,0.82,6.19,120.45,21.07,2.1
Kidney beans,13.07,431.41,0.82,6.75,116.55,18.22,1.84
Kidney beans,9.06,545.09,0.96,6.38,84.98,19.67,2.5
Kidney beans,35.61,710.39,1.32,6.88,116.67,26.48,2.97
Kidney beans,10.72,844.21,1.06,6.98,145.25,24.13,2.06
Kidney beans,10.84,697.92,0.67,7.03,69.79,19.12,2.44
Kidney beans,9.82,531.79,1.1,6.52,79.76,25.22,1.8
Kidney beans,1.19,775.35,0.81,6.2,88.64,21.26,2.21
Kidney beans,9.56,756.08,1.47,6.61,110.46,26.06,1.91
Kidney beans,5.06,472.4,0.35,6.66,72.39,21.82,2.39
Kidney beans,4.12,822.26,0.71,6.2,80.49,19.23,1.17
Kidney beans,29.69,534.62,0.77,6.08,64.27,20.25,1.22
Kidney beans,5.7,770.32,0.6,6.29,132.75,20.75,2.97
Kidney beans,32.41,430.82,1.44,6.66,71.21,26.55,1.97
Kidney beans,37.5,896.5,0.3,6.67,77.06,22.06,1.11
Kidney beans,19.53,621.98,0.44,6.64,141.98,20.51,2.27
Kidney beans,32.76,429.23,0.89,7.39,135.2,24.14,2.58
Kidney beans,2.86,420.19,1.15,7.14,132.09,25.73,2.75
Kidney beans,4.43,748.62,0.67,7.41,143.55,22.02,1.33
Kidney beans,7.59,620.49,0.33,6.89,136.39,25.32,2.58
Kidney beans,13.7,546.7,1.22,7.26,136.52,18.88,2.38
Kidney beans,23.72,689.21,0.78,6.27,155.17,25.26,3.03
Kidney beans,2.68,766.64,0.68,6.5,148.69,25.42,2.09
Kidney beans,19.66,405.99,1.39,6.57,106.85,24.42,1.93
Kidney beans,15.52,773.39,0.51,6.39,128.2,24.67,2.52
Kidney beans,13.42,486.94,0.9,7.49,110.59,22.57,2.78
Kidney beans,37.54,714.61,1.42,7.1,141.29,25.55,2.6
Kidney beans,18.73,708.13,0.69,7.05,93.36,25.77,1.61
Kidney beans,32.83,413.93,0.55,6.11,126.18,25.77,2.45
Kidney beans,33.03,848.38,0.4,6.67,113.43,21.43,1.54
Kidney beans,26.72,549.47,0.25,6.33,88.17,24.94,2.37
Kidney beans,27.03,506.28,1.22,6.09,136.23,26.33,1.67
Kidney beans,6.41,561.25,0.28,6.72,151.94,19.68,2.27
Kidney beans,2.65,639.59,0.6,6.17,72.62,21.32,1.16
Kidney beans,16.62,607.66,1.23,6.33,72.56,21.44,2.05
Kidney beans,8.18,869.43,1.11,6.17,88.37,27.22,2.3
Kidney beans,17.37,737.04,1.29,6.12,108.86,21.56,2.19
Kidney beans,5.62,818.51,1.09,6.97,70.23,21.51,2.84
Kidney beans,4.14,819.6,1.16,7.49,129.34,27.46,2.92
Kidney beans,32.56,617.79,1.19,7.07,108.12,24.02,2.51
Kidney beans,8.44,517.88,0.28,6.05,81.41,21.8,1.14
Kidney beans,5.4,798.2,0.47,7.43,106.66,22.37,2.14
Kidney beans,30.15,712.04,0.55,6.32,67.65,24.43,2.4
Kidney beans,35.39,760.66,0.56,7.33,97.75,24.55,1.57
Kidney beans,0.91,806.26,0.62,7.12,80.98,25.61,2.07
Kidney beans,21.13,517.56,1.33,6.67,100.47,24.77,2.36
Kidney beans,36.67,765.71,1.24,6.12,130.27,22.78,1.39
Kidney beans,18.37,584.65,1.02,6.74,154.03,22.0,1.71
Kidney beans,1.67,764.1,0.56,6.52,105.24,18.23,2.32
Kidney beans,29.65,794.9,0.96,7.31,153.69,21.53,1.9
Kidney beans,27.69,822.61,1.25,6.79,111.45,18.79,1.99
Kidney beans,26.16,787.64,0.22,6.63,76.57,23.37,1.96
Kidney beans,36.5,608.71,0.58,6.57,113.94,26.43,2.71
Kidney beans,15.25,584.85,0.85,7.27,118.83,21.03,1.4
Kidney beans,15.42,658.41,1.48,6.71,114.92,24.18,3.1
Kidney beans,25.82,583.46,0.22,6.87,151.2,23.05,2.94
Kidney beans,23.3,645.36,1.45,7.36,66.8,22.62,2.35
Kidney beans,6.06,741.95,0.36,6.62,124.82,26.5,2.68
Kidney beans,31.35,769.22,1.15,6.09,158.77,25.69,2.9
Kidney beans,13.41,782.87,0.91,6.26,78.74,21.22,1.95
Kidney beans,19.36,751.93,1.46,6.48,87.83,26.58,1.53
Kidney beans,17.01,608.67,0.9,7.24,104.39,26.95,1.09
Kidney beans,6.82,803.63,1.46,6.7,86.7,24.94,1.52
Kidney beans,2.2,865.03,0.86,6.19,93.98,27.27,1.7
Kidney beans,31.65,415.15,0.21,6.78,74.05,18.7,1.31
Kidney beans,4.61,732.07,0.9,6.56,88.46,26.93,1.39
Kidney beans,31.04,439.28,0.66,7.07,138.11,20.74,2.39
Kidney beans,5.81,874.03,1.42,6.93,131.32,22.43,2.75
Kidney beans,29.46,477.82,0.55,7.17,75.45,27.69,1.77
Kidney beans,5.09,802.27,1.41,6.97,95.67,23.11,2.88
Kidney beans,13.63,504.97,1.39,7.0,117.19,21.29,1.73
Kidney beans,14.84,832.12,0.3,7.35,61.42,24.11,2.05
Kidney beans,4.51,572.29,0.61,6.7,135.1,21.35,1.21
Kidney beans,19.52,682.8,0.53,6.39,109.57,18.23,2.48
Kidney beans,3.15,799.73,0.45,7.06,152.39,19.64,1.55
Kidney beans,37.16,889.69,0.92,6.76,96.62,25.8,1.69
Kidney beans,12.22,615.19,1.13,6.09,107.21,22.97,2.31
Kidney beans,38.33,625.19,1.16,7.41,136.07,20.0,2.69
Pigeon peas,21.51,915.73,0.66,5.7,86.44,24.38,1.32
Pigeon peas,35.3,963.22,1.18,5.98,119.73,30.79,1.63
Pigeon peas,1.89,730.06,1.7,5.97,144.01,29.9,2.75
Pigeon peas,37.8,754.77,0.37,5.96,111.27,32.15,2.63
Pigeon peas,41.77,887.33,0.88,6.66,66.11,24.15,1.39
Pigeon peas,19.75,997.51,1.79,6.98,119.81,23.41,2.63
Pigeon peas,45.32,754.53,1.58,6.23,139.09,27.39,1.27
Pigeon peas,4.19,908.26,0.87,6.18,124.49,27.9,2.45
Pigeon peas,28.03,695.52,1.71,6.68,64.24,20.31,2.08
Pigeon peas,13.92,753.66,0.62,5.63,95.16,23.09,1.06
Pigeon peas,36.76,763.31,0.82,7.35,136.94,25.61,2.37
Pigeon peas,8.7,602.11,0.87,6.18,136.37,27.56,2.15
Pigeon peas,41.12,637.28,0.66,6.17,103.66,24.63,2.51
Pigeon peas,32.05,865.58,0.9,6.51,107.7,23.46,2.61
